,text,like,love,care,haha,wow,sad,angry
626,"小花現身啦！大家不用擔心，她現在很安全，就像溫室裡的小花一樣安全。
為了拍攝這支MV，團隊花了很長的時間試鏡找演員，也從台灣飛到金門好多趟。甚至跑到北京去錄交響樂，還找了各國的音樂人參與。看到有那麼好的成績，真的很欣慰。尤其看到留言欄幾萬個來自世界各國華人的留言，能夠感動到大家，一切的辛苦都值得了！
感想演員和幕後製作團隊，感謝參與這首歌曲的每一位音樂人。最重要要感謝金門縣政府的信任和支持。大家有空可以到金門去走走，那裡真的太美麗了！
I hope that the songs I created are not only good-sounding and catchy, but also can spread some messages to everyone through the lyrics.
Thanks Musician, MV Production Crew & Kinmen County Government for supporting me to complete such a beautiful Music Video.

鳴謝：
金門縣縣長 躍動金門-楊鎮浯
金門縣觀光處處長 #丁健剛
金門縣觀光處科長 #蔡百里
金門縣觀光處科長 #顧克亞
#金門2021觀光主題曲
#KinmenTourismThemeSong
#墻外
#TheWall

-

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】已正式發行，馬上點入以下網址購買！Namewee's latest music album of 2021 [Ghosician] is now available in : https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",16536,348,73,87,19,6,8
627,"Malaysia actually has many descendants from Kinmen, Kinmen people raise your hand 🖐🏼️
這是我目前拍過最貴的MV，打破了漂向北方和China Reggaeton的記錄，至於實際花了多少錢，我不想說，因為提起會心痛😢... 反正肯定超過金門縣政府付我們的製作費就對了。會下如此狠手，是因為當我第一次飛到金門勘景的時候，被它的風景，建築和歷史故事深深吸引。我只想要把所有我知道我看到的東西全部拍出來，並把一些訊息透過mv傳達給大家，這樣我就覺得值得了！這就是創作人的浪漫... 😎

今晚推出製作花絮，【墻外】女主唱小花會現身訪問。敬請期待！

-

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",25096,375,101,29,49,1,8
628,"我一直希望我創作的歌曲，除了可以朗朗上口好聽以外，也可以通過歌詞散播一些訊息給大家。這首歌的歌詞很簡單，希望大家能“聽懂看懂”。😎
https://www.epochtimes.com/gb/21/11/14/n13375328.htm

-

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",5096,103,34,20,5,1,0
629,"Number1 in #Yes933! Thanks Singapore！
謝謝新加坡的朋友喜歡玻璃心❤️希望你們的疫情趕快穩定下來，加油！
https://www.facebook.com/277464289866/posts/10161391734784867/?d=n

-

《玻璃心 Fragile》Youtube 高清版MV：https://bit.ly/30GjD9j

The Making Of《玻璃心 Fragile》幕後花絮 Youtube高清版 : https://youtu.be/TTd7M9QjM3M

《玻璃心 Fragile》影片分析 Youtube 高清版 : https://youtu.be/oX3D9HTc7I8

《玻璃心 Fragile》Youtube KTV版 : https://www.youtube.com/watch?v=EmDnxlx4610

《玻璃心 Fragile》數位音樂下載 Online Music Download：https://lnk.to/fragilepink

《玻璃心 Fragile》動態歌詞版 Youtube高清版 : https://www.youtube.com/watch?v=835J6hwj_S8

《玻璃心 Fragile》Shorts 高清版：https://youtu.be/PdoGtBQFtbg

《玻璃心 Fragile》幕後花絮 Shorts 高清版：https://youtu.be/lFghyBIjsO0

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel:
@NameweeO

#Namewee #黃明志 #陳芳語 #KimberleyChen #玻璃心 #Fragile",5302,108,24,32,3,0,3
630,"馬來西亞其實有很多金門人的後裔，還有印尼，新加坡，文萊也有很多。祖先漂洋過海到南洋去賺錢，成功了便拿錢回金門蓋房子。所以金門其實有很多長得有一點英殖民南洋風的建築😊。難怪我總覺得馬來西亞的福建話和金門的比較像😄。世界各國的金門人請舉手！🙌🏻

Kinmen is a very beautiful place. Thanks to the Kinmen County Government for giving me the opportunity to make such a beautiful MV and also assigning me to be their tourism ambassador❤️

-

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】已正式發行，馬上點入以下網址購買！Namewee's latest music album of 2021 [Ghosician] is now available in : https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",12314,152,47,16,10,0,10
631,"感謝楊縣長 躍動金門-楊鎮浯 的信任。
希望這首歌曲和MV能夠實質上幫助到金門的觀光，建議台灣的朋友可以到那裡去深度旅遊，慢慢走幾天。金門真的太美太有故事了，不能只有我知道！
https://www.facebook.com/960651807319352/posts/4967794666605026/?d=n

-

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",9732,136,40,16,7,0,4
632,"Thanks Walk Bell John Award!
這是我第一次出席走鐘獎，也是第一次得獎。對我來說整個活動像同學聚會❤️。
這個頒獎典禮跟其他的差別在於，得獎者和頒獎者在台上亂講話的幾率是其他大型頒獎典禮的10倍🤓。
感謝走鐘獎讓【出去走走】拿到了【最佳MV】

#出去走走
#高雄觀光主題曲
#走鐘獎
#WalkBellJohnAward
#MusicVideoOfTheYear

-

【出去走走 Getaway To Kaohsiung】Youtube高清版：https://youtu.be/ZrMwzax_SU4
【出去走走 Getaway to Kaohsiung】數位音樂下載 Online Music Download：https://lnk.to/DefaFM6H
【出去走走 Getaway To Kaohsiung】動態歌詞版：https://youtu.be/UXQ4n1vssLU

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志",17296,239,45,118,6,1,6
633,"當初因為高雄市政府觀光處的信任和一路的幫忙，才讓我們能夠完整地拍攝出想要的作品。
【出去走走】MV在海內外都得了好幾個獎項... 讓世界都看見高雄。
所以“信任”真的很重要。當獲得了信任，我們才能全力以赴。

https://www.facebook.com/story.php?story_fbid=3236896983214110&id=1863023523934803&sfnsn=mo

-

【出去走走 Getaway To Kaohsiung】Youtube高清版：https://youtu.be/ZrMwzax_SU4

【出去走走 Getaway to Kaohsiung】數位音樂下載 Online Music Download：https://lnk.to/DefaFM6H

【出去走走 Getaway To Kaohsiung】動態歌詞版：https://youtu.be/UXQ4n1vssLU

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #出去走走",12006,136,43,260,22,2,5
634,"這應該是我在台灣那麼多年來最多媒體出席的一次專輯發佈會了❤️... 感謝各國媒體的出席，辛苦大家了！
Welcome to Namewee Ghosician Press Conference! Thanks for supporting my spirit of freedom of making Music! Thanks Kimberley Chen 陳芳語

#鬼才做音樂專輯發佈會
#ghosician

-

《玻璃心 Fragile》Youtube 高清版MV：https://bit.ly/30GjD9j
《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #鬼才做音樂",32257,439,177,74,82,0,4
635,"MV下面的留言欄已經變成了海內外各國華人的交流區... 這就是我堅持做音樂那麼多年的理由❤️
https://m.ntdtv.com/gb/2021/11/13/a103267929.html

-

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",15021,317,107,77,10,2,3
636,"感謝走鐘獎！感謝高雄觀光局！我才是真正的骨灰級YouTuber! 🤟
This is the 1st award I have received in Taiwan！MUSIC VIDEO OF THE YEAR!

https://fb.watch/9giU3M3Dp7/",5150,134,34,94,2,0,0
637,"【Fragile 】has reached 30 million views in 30 days 💖💖💖 Kimberley Chen 陳芳語
關了一扇門，卻打開了無數個窗。恭喜【玻璃心】在30天內突破了3000萬播放。也因為這首歌突然暴增了幾十萬粉絲訂閱，來自世界幾十個國家... 🤓開熏！

-

《玻璃心 Fragile》Youtube 高清版MV：https://bit.ly/30GjD9j

The Making Of《玻璃心 Fragile》幕後花絮 Youtube高清版 : https://youtu.be/TTd7M9QjM3M

《玻璃心 Fragile》影片分析 Youtube 高清版 : https://youtu.be/oX3D9HTc7I8

《玻璃心 Fragile》Youtube KTV版 : https://youtu.be/EmDnxlx4610

《玻璃心 Fragile》數位音樂下載 Online Music Download：https://lnk.to/fragilepink

《玻璃心 Fragile》動態歌詞版 Youtube高清版 : https://www.youtube.com/watch?v=835J6hwj_S8

《玻璃心 Fragile》Shorts 高清版：https://youtu.be/PdoGtBQFtbg

《玻璃心 Fragile》幕後花絮 Shorts 高清版：https://youtu.be/lFghyBIjsO0

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel:
@NameweeO

#Namewee #黃明志 #陳芳語 #KimberleyChen #玻璃心 #Fragile",12033,287,59,56,14,1,4
638,"飛了金門好多趟，住了好多天，籌備了好久，MV也拍了好多天。雖然很辛苦，但是看到作品出來受到大家的喜愛就覺得很值得！
感謝製作團隊真的辛苦了！還有兩位可愛的最佳男女主角❤️
感謝金門縣政府的青睞和那麼多天的照顧。希望透這個作品可以讓更多人看到金門的美麗，歡迎大家到金門走走！ 樂遊金門

I hope everyone can gain insight into the details we interspersed in【The Wall】 MV and lyrics. It has some messages we want to convey to you...

Kinmen is a very beautiful place. Thanks to the Kinmen County Government for giving me the opportunity to make such a beautiful MV and also assigning me to be their tourism ambassador❤️

鳴謝：
金門縣縣長 躍動金門-楊鎮浯
金門縣觀光處處長 #丁健剛
金門縣觀光處科長 #蔡百里
金門縣觀光處科長 #顧克亞
#金門2021觀光主題曲
#KinmenTourismThemeSong
#墻外
#thewall

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",29581,443,109,20,11,4,6
639,"Namewee 黃明志

關於那一道墻的故事... 黃明志金門觀光主題曲【牆外】F
t. 小花 @鬼才做音樂 2021 Ghosician

《牆外 The Wall》Youtube 高清版MV：https://
youtu.be/
WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://
youtu.be/
6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/
thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://
youtu.be/
k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://
youtu.be/
S2u9jzNTV2Q

木棉花開太武山
The kapok plain season sat upon Taiwu mountain

風獅爺笑哈哈
Lion sculpture glee trembling cachinnate

貢糖高粱四季蘭
Tribute candy Sorghum and four season orchid

我送汝到海岸
I send you to the sea coast

我躲在角落 遠遠望著妳
Hiding in the corner, looking at you from a distance

妳的美麗迴盪在我記憶
Your beauty is imprinted in my memories

藍天和綠地是我的棲息
The blue sky and green earth is my perch

也是妳嚮往的風景
and the scenery you fancy

家門被鎖緊 媽媽會擔心
My mum is very strict

就像溫室裡的小花禁不起風雨
She shut me in a greenhouse, just like the fragile flowers

縱然任性 卻也無能為力
I want freedom, but I can do nothing

我站在牆外等你
I'll wait for you outside the wall

期盼著你的回應
I'm waiting for your reply

我聽見你的心跳還有你的呼吸
I hear your breath, and your heartbeat

一直在牆外等你
I'll always wait for you outside the wall

多渴望會有奇蹟
How I hope a miracle would appear

空氣裡 一點一滴
Every molecule in the air

都是不言可喻的默契
is filled with our untold chemistry

想要帶妳漫步天際
I wish I could travel the world with you

自由遨翔在天空裡
And fly freely into the skyline

或許這是命運將我們隔離
Maybe we're separated because of fate

卻無法掙脫回擊
Yet we can't do anything to fight back

我只能盡力相信
I can only try my best to believe

相信我們總會相遇
Believe that we will meet once again

會在某年某月某一個轉移
Maybe in another time shift when era changes

-

黃明志2021最新實體專輯【鬼
才做音樂】11月正式發行，今天
開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/
3BM4IIe

Namewee 黃明志 NFT 平台 :
https://
opensea.io/
NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/
nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://
www.facebook.com
/namewee/

Namewee YouTube Channel Link:
http://
www.youtube.com/
namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",5588,106,25,8,3,0,1
640,"My latest song【THE WALL】has surpassed 1 million views in only 18 hours！😱 Welcome to Kinmen, what a beautiful place!
恭喜【墻外】在18小時就破了100萬播放量！但最開心的還是看到來自各方的留言，證明了大家其實都沒有惡意，也都很清楚發生了什麼事。這就是我創作這首歌的目的。

謝謝你們喜歡這首歌和MV，大家一定要到金門去玩，那裡的風景和建築真的超級有Feel，重點是東西很好吃！#金門縣政府觀光處 樂遊金門

-

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】11月正式發行，今天開始預購！Namewee's latest music album of 2021 [Ghosician] will be officially released in November, and Pre-order has starts now! https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",18041,298,72,35,13,2,4
641,"這是關於兩位小孩的故事...他們互相認識，互相欣賞，對彼此並沒有惡意。但在他們之間一直隔著一道高墻，沒有人能夠跨越...

這是我特地為金門縣政府量身打造的觀光推廣歌曲【墻外】，也請來了中國歌手 #小花 一起來合唱。慢慢細品歌曲和MV，裡面有很多奧妙的細節和想要傳達的訊息，希望大家能看懂...

非常感謝 樂遊金門 的邀請，讓我有榮幸成為他們的2021年度觀光代言人。為了籌備和拍攝，從台灣來回金門好幾趟，對那裡的食物和風景，尤其它的歷史真的意猶未盡...

Thanks to the Kinmen County Government for giving me the opportunity to make such a beautiful MV and also assigning me to be their tourism ambassador ❤️. I hope this song can bring peace to everyone and let's break the WALL together！

鳴謝：
金門縣縣長 躍動金門-楊鎮浯
金門縣觀光處處長 #丁健剛
金門縣觀光處科長 #蔡百里
金門縣觀光處科長 #顧克亞
#金門2021觀光主題曲
#KinmenTourismThemeSong
#墻外
#TheWall

-

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】已正式發行，馬上點入以下網址購買！Namewee's latest music album of 2021 [Ghosician] is now available in : https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel Instagram:
@NameweeO

#Namewee #黃明志 #牆外 #TheWall",19234,576,81,57,17,12,16
642,"【墻外】是我很少有的抒情民謠慢歌...
還特地邀請了來自中國的清新派美女歌手 #小花 一起來合唱。已經在數位平台發佈。今晚6pm即將推出全新MV。敬請期待！
【The Wall】has been released on the digital music platform. Stay tuned for our MV tonight!

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

#金門2021觀光主題曲
#KinmenTourismThemeSong
#墻外
#thewall

-

黃明志2021最新實體專輯【鬼才做音樂】11月已經發行，今天馬上訂購！Namewee's latest music album of 2021 [Ghosician] is officially released, get your copy now at: https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel:
@NameweeO

#Namewee #黃明志 #牆外",24818,371,69,217,56,4,10
643,"對面的朋友看過來...
Stay tuned for my new music video【The Wall】tomorrow 6pm！
最新MV【墻外】明天見！

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】11月已經發行，今天馬上訂購！Namewee's latest music album of 2021 [Ghosician] is officially released, get your copy now at: https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel:
@NameweeO

#Namewee #黃明志 #牆外",20359,216,71,2301,82,2,11
644,"感謝金門縣政府的青睞，讓小弟來擔任金門縣的觀光代言人。明天會推出觀光主題曲【墻外】，敬請期待！
這是我第六次代言台灣的縣市觀光，希望下次可以代言整個台灣🤓

https://www.chinatimes.com/realtimenews/20211108003918-260404

《牆外 The Wall》Youtube 高清版MV：https://youtu.be/WCLlFA9SiDI

The Making Of《牆外 The Wall》幕後花絮 Youtube高清版 : https://youtu.be/6sDERBmygwY

《牆外 The Wall》數位音樂下載 Online Music Download：https://lnk.to/thewallnamewee

《牆外 The Wall》動態歌詞版 Youtube高清版 : https://youtu.be/k-1SMrfRqqQ

《牆外 The Wall》Shorts 高清版：https://youtu.be/S2u9jzNTV2Q

-

黃明志2021最新實體專輯【鬼才做音樂】11月已經發行，今天馬上訂購！Namewee's latest music album of 2021 [Ghosician] is officially released, get your copy now at: https://bit.ly/3BM4IIe

Namewee 黃明志 NFT 平台 :
https://opensea.io/NAMEWEE4896

Namewee 黃明志 Telegram Channel :
https://t.me/nameweeofficial

Namewee 黃明志 Official Facebook Fan Page:
https://www.facebook.com/namewee/

Namewee YouTube Channel Link:
http://www.youtube.com/namewee/

Namewee Twitter Channel:
@NameweeO

#Namewee #黃明志",12908,227,60,111,23,0,5
645,明天見！,2618,37,15,11,5,0,1
