,page,id,text,like,love,care,haha,wow,sad,angry
10,tsaiingwen,625407828581797,大家早安歡迎一起加入元旦總統府升旗典禮直播🇹🇼中華民國年元旦總統府升旗典禮活動時間六全長約分鐘活動地點總統府前廣場直播平台蔡英文賴清德總統府發言人總統府蔡英文總統🇹🇼升旗典禮流程建國中學樂旗隊北一女中樂儀旗隊向醫護致敬元旦升旗演唱會醫護大合唱世界挺台灣國防部三軍樂儀隊操演升旗典禮介壽國中弦樂團,10435,1415,107,22,16,13,56
11,tsaiingwen,10157863093876065,祝大家新年快樂時間過得很快已經到了年的最後一天我想要謝謝大家在這一年一起克服許多挑戰也在經濟國際上創造許多新的成績讓台灣成為更進步的國家新的一年我們也要一起團結守護台灣讓台灣繼續走向世界明天我將在總統府發表元旦談話歡迎大家鎖定我的直播一起迎接年跨年記得做好防疫,92270,2311,528,59,13,13,77
12,tsaiingwen,10157862545756065,年最後一天我想要特別感謝第一線的防疫人員疫情肆虐全球已經兩年這兩年來包括醫護機組人員防疫司機及邊境檢疫員等第一線人員都在崗位上努力落實防疫守護台灣他們就是台灣最堅強的防疫英雄過去這一年也因為全體國人的團結努力台灣不僅度過嚴峻的疫情考驗經濟表現也持續亮眼我要謝謝為防疫付出的每個人也要提醒大家國際疫情依然嚴峻我們一定要繼續守住疫情防線我知道連假第一天大家都很期待跨年活動請大家出門做好防疫措施保護自己也保護他人我們一起為台灣來努力感謝第一線防疫人員,12894,415,162,14,3,5,48
13,tsaiingwen,10157861513326065,明天開始就是元旦連假預祝大家新年快樂這禮拜六我們即將迎來虎年總統府也推出虎年電子賀卡以虎虎生風格自信向前行為主題象徵台灣的勇敢自信以及多元文化歡迎大家傳給親友分享新年的祝福連假期間各地有許多跨年活動還是要提醒大家維持好防疫習慣新的一年我們繼續團結防疫守台灣,16833,360,123,24,3,4,63
14,tsaiingwen,10157861351751065,守護國家安全不僅是國軍的任務也是我們每個人要共同承擔的責任我認為只有建立全民防衛的觀念才能打造最堅實的國防我們不只要精進國軍戰力更要提升全體國民的國防知識與訓練所以我執政以來除了持續發展不對稱戰力堅實國防力量今天我們更成立了全民防衛動員署來落實全民國防的理念我要告訴大家未來全動署將為國家達到三大目標包括後備動員合一常後一體跨部會合作並持續強化國家後備戰力🔺精進教召訓練提升後備部隊戰力🔺建立跨部會合作機制確實掌握在災時戰時能運用的民力物力🔺擬定動員計畫並適時審視修訂來提升動員能量現在我們也開始製作全民國防手冊提升大家對國防的參與和了解我要感謝國防部同仁一直以來的努力與付出和平要靠堅實的國防我們持續增強自我防衛力量讓世界看見我們不畏戰不求戰的原則以及捍衛國土主權的決心,29723,343,465,83,18,6,92
15,tsaiingwen,10157860145921065,我們很遺憾再次看到中共當局再次撕毀一國兩制的承諾再次打壓箝制香港的言論自由香港政府今天拘捕了立場新聞高層前高層及歌手何韻詩我們高度關注此事件也呼籲世界各國民主陣線的盟友一起關注他們的人身安全繼續關注香港情勢的發展民主自由是普世價值是人民的基本權利勇敢追求民主自由的過程不是犯罪更不應該遭受不正當的對待台灣會繼續堅定地撐香港撐港人也盼今天遭拘捕的人士能儘早平安獲釋,113930,1578,23320,486,247,4682,463
16,tsaiingwen,10157859973761065,靜昶守護終結惡鬥這個月的公投結果顯示大家都期待經濟穩定社會安定我們都希望台灣可以維持競爭力大步走向國際社會我們也希望台灣的民主體制可以理性穩健正因為台灣要繼續穩健向前我深切期盼惡意操作的罷免以及地方派系過度的政治動員都應該要畫下句點了台中市第二選區的立委補選我們相信我們提出來的人選四號林靜儀醫師溫柔堅定新中二醫師是最優質最專業的立法委員也最能為台中海線鄉親爭取公平正義和發展對於台北市第五選區中正萬華區的罷免案我們的態度很堅定就是我們不同意我們要用不同意票讓台灣隊最有拚勁的隊友林昶佐委員可以繼續留在立法院此時此刻台灣的經濟正在大步向前但國際社會的疫情卻又相當嚴峻台灣社會需要專心面對經濟和防疫做最大努力克服挑戰不應該再被惡質的政治操作干擾月日贏回中二選區守住中正萬華這就是終結罷免惡鬥最直接也最有效的方法而最關鍵的主角就是中二選區和中正萬華的選民了靜儀和昶佐都是台灣中生代優質的政治工作者是最能專業問政最有服務熱忱的民意代表我要拜託台中市沙鹿龍井大肚烏日霧峰台北市中正萬華區所有的鄉親請你們以行動站出來用行動進場守護家鄉用行動當政治惡鬥的終結者最後的選舉結果可能差距很接近我們一定要拚全力來贏得這場選戰月日下個星期日我們集結所有的力量靜昶守護終結惡鬥讓政府可以專注在國政讓社會可以有個平靜的好年,32399,313,876,239,20,19,492
17,tsaiingwen,615950463072011,台中市第二選區立委補選倒數天我要請大家一起衝刺一起拉票除了全力相挺號林靜儀醫師溫柔堅定新中二台北市中正萬華的林昶佐也需要你用不同意罷免來反惡罷月日讓我們一起靜昶守護終結惡鬥,4292,264,279,28,1,5,131
18,tsaiingwen,10157859850221065,蔡英文靜昶守護正義一定贏台中第二選區支持四號林靜儀終結惡鬥台北中正萬華不同意罷免林昶佐一起換上臉書特效框讓更多人進場守護靜昶守護特效框連結,38,0,0,3,0,0,0
19,tsaiingwen,10157857370146065,今天我在全國技能競賽選手大會師頒獎給奪下金銀銅牌的選手恭喜他們有傑出的表現兩年前在俄羅斯舉行的國際技能競賽台灣的整體成績是世界排名第三今天我也告訴大家勞動部會像支持奧運選手一樣給予所有技能選手最好的訓練環境和後勤支援讓選手們在下一屆年在法國舉行的比賽能夠繼續有最好的表現這幾年來社會上對技職教育的關注越來越高像是用技能與社會對話拍攝的一部紀錄片記錄了四位選手投入比賽的過程我相信所有選手都投入非常多的時間做了許多努力我也希望大家能夠一起幫選手加油現在技術人才越來越重要透過技能可以協助整個社會解決問題產生很大的貢獻去年台灣在很短的時間內打造了非常堅實的口罩國家隊就是最好的例子我也鼓勵所有技職體系的同學希望大家都能發揮專業和能力為社會解決關鍵的問題用技能來改善環境為台灣帶來更多進步和發展我們一起加油,19603,241,148,22,1,9,167
20,tsaiingwen,10157857242711065,給護國群山更多支持四大半導體學院全數到位今天我到新竹為清華大學半導體研究學院揭牌加上已經陸續成立的成大陽明交大和台大現在四大半導體學院全數到位這是台灣半導體產業的新里程碑台灣的半導體產業已經在世界占有領先地位我們繼續跟時間賽跑才能把握住產業鏈的關鍵優勢提升研發水準積極培育人才就是讓半導體產業持續進步最關鍵的原動力這四所半導體學院有非常多企業一起投入透過產學合作的課程學生能夠同時學習學術理論和業界實務不僅能大幅提升人才素質也能為產業發展打下重要的基礎為了跟時間賽跑我也建議半導體學院在學程設計上可以更彈性地運用寒暑假的時間我並不是說要縮短所有學校的寒暑假請大家千萬不要誤解了我講的是半導體學院而不是國高中或其它學校的寒暑假喔請幫我轉發,20602,242,225,57,9,6,135
21,tsaiingwen,10157855752546065,用創意讓台灣成為永續的堅韌之島今年總統盃黑客松邁入第四屆這一年遇到疫情的考驗台灣的黑客仍持續利用創新科技展現台灣克服挑戰的韌性國內松的五組獲獎團隊提案內容包括能源轉型加速去碳化河川與海洋生態保育等議題都是當前台灣非常重要的政策方向國際松則是第一次聚焦在氣候議題吸引國內外的黑客共同貢獻心力實現全球共好我們也特別歡迎團隊參與今天的活動他們今年參加了黑客松競賽來推廣台灣的昆蟲多樣性並獲得最佳科學應用獎成為全球十位首獎的獲獎團隊之一真的非常不容易很高興有這麼多優秀的黑客跟政府同心協力對重要議題提出解方面對當今全球的議題和挑戰政府會持續和民間攜手合作透過創新科技讓台灣成為一座永續的堅韌之島,22750,249,168,40,4,4,151
22,tsaiingwen,10157854170781065,竹科基地在硬實力基礎上強化軟實力帶動竹科產業聚落發展台灣代工全球市占率超過成是全球第一設計封裝測試方面也位居世界第二其他包括還有太陽能板等產業也穩坐全球前三名這些成果是台灣高科技產業最堅實的硬實力的展現今天我到竹科基地見證第一軟體大樓的開工這裡未來會發展積極發展資通訊以及大數據產業相信一定能夠成為帶動台灣高科技產業軟實力的重要產業聚落我要肯定科技部和林智堅市長帶領的新竹市政府共同推動竹科計畫中央和地方齊心協力一定可以再次為竹科的產業發展注入新的動能新竹縣市是台灣的科技重鎮我相信強化台灣關鍵產業的發展量能提升地方政府的治理效能會是市民縣民產業界的共同期待,23289,243,225,42,6,7,166
23,tsaiingwen,10157853939621065,聖誕假期你準備好片單了嗎公視國際橋牌社將在今天晚上開播每週六連播兩集之前錯過的朋友可以把握機會收看從天橋上的魔術師公視影集到斯卡羅茶金公視戲劇一直到國際橋牌社這些屬於台灣這塊土地的故事政府會繼續投入力量支持也期盼未來可以有更多的戲劇動畫電影能產出更多具開創性又能代表台灣的內容進軍國際更重要的好內容也要有觀眾熱情收看政府持續出力多方的支持才能讓台劇有養分產出更多元的作品國際橋牌社的故事設定在年真實地還原台灣在危機下同島一命死裡求生的精神也寫實還原了台灣民主化珍貴的歷程許多年輕朋友可能沒有機會參與這段歷史正好可以藉由戲劇來體會台灣在那個時代特殊的政軍情勢趁著週末我要邀請大家一起支持台劇週六記得看公視國際橋牌社也請大家留言告訴我你最近看了哪些台劇好嗎,15497,240,76,50,26,7,113
24,tsaiingwen,10157853028406065,今天是聖誕節祝大家佳節愉快年終時節大家是不是也把握時間和親友團聚今天有日台之心聖誕音樂會市集推薦大家一起來參加天氣變冷了出門過節記得注意保暖防疫也不要鬆懈了祝大家平安快樂活動資訊活動時間月日六～地點台北水舞廣場入口松智路側參與方式免費入場現場防疫規定實聯制請佩戴口罩禁止邊走邊吃,22111,629,110,29,7,5,74
25,tsaiingwen,10157852820031065,平安夜跟大家報告建立南台灣科技廊帶加速地方產業發展這幾年我們積極規劃投入資源努力在南台灣建立起科技廊帶今天我來到台南跟高雄跟大家一起見證重要的產業進展🔺台南沙崙資安暨智慧科技研發大樓啟用一直以來我們努力在台南打造一個具有多元創新能量的產學研聚落除了推動沙崙智慧綠能科學城現在這座大樓的啟用代表南台灣的產業能量越來越豐沛未來透過跨部會的合作這裡將會有資安網路數據分析實驗室智慧運輸模擬平台以及南台灣科技新創基地期待未來有更多廠商進駐凝聚強大的產業聚落🔺高雄的橋頭科學園區選地招商推動橋頭科學園區是我們對高雄朋友的重要承諾從園區規劃基礎建設和聯外道路陳其邁市長一直都在緊緊緊加速進行今天橋頭科學園區也已經可以讓廠商選地建廠我要告訴大家未來更多的半導體電動車航太等最新進最具競爭力的產業都會來到高雄落地深耕我們期待將台南高雄等科技產業聚落串連起來建立起南台灣科技廊帶中央地方也將持續緊密合作把握國際產業鏈重組的關鍵時刻讓南台灣的經濟加速發展,19259,222,176,38,6,7,85
26,tsaiingwen,10157852615111065,四大半導體學院陸續成立為國家關鍵產業向下扎根今天股市寫下新紀錄代表台灣經濟基本面強其中我們的半導體供應鏈也是帶動經濟成長的重要關鍵台灣的半導體技術在全世界已經占有領先地位政府也要在既有的基礎之上持續為國家關鍵產業超前部署成立四大半導體學院積極為下個世代培育科技人才就是我們現階段的重要任務前陣子台南新竹的半導體學院都已經啟動今天台灣大學的重點科技研究學院也正式成立緊接著清華大學半導體研究學院也將在下週成立很快的台灣的四大半導體學院將全面啟動以產學共創的模式投入培育科技人才的國家隊我也要特別感謝台積電聯發科力積電等產業界共同支持給予政府大力協助國家的執政方向正確穩定經濟也會持續有好表現謝謝大家跟政府一起打拚新的一年我們繼續為國家產業向下扎根全力來拚經濟,29929,389,317,69,33,9,109
27,tsaiingwen,10157851140306065,週末聖誕節大家有安排活動嗎這個星期六中華文化總會及日本台灣交流協會共同舉辦了日台之心聖誕音樂會市集現場將有日本的傳統美食以及精采的音樂表演邀請大家一起來參與這一年來日本不僅協助台灣防疫多次捐贈疫苗也在國際上給予我們支持台日友誼在各方面不斷展現我也期盼明年台日持續友好攜手面對各項挑戰活動資訊活動時間月日六～地點台北水舞廣場入口松智路側參與方式免費入場現場防疫規定實聯制請佩戴口罩禁止邊走邊吃☁️天氣濕冷，記得保暖帶雨具喔🧣日台友情,6716,122,46,10,4,1,60
28,tsaiingwen,10157851030531065,台北萬華社宅動工全國戶數加速中今天台北市萬華的社宅開工動土這是中央直接興建的社宅我要感謝內政部國家住宅及都市更新中心的大力推動以及台北市政府的行政協助到了年末的時刻我也要向大家報告社宅政策的進度🔺中央地方通力合作全國已經累積戶包含既有新完工興建中及已決標待開工🔺中央直接興建的社宅累積共戶執政五年來我們的社宅戶數會持續增加內政部和住都中心更建置好流暢的社宅推動產線加速社會住宅戶數的增加減輕年輕人的負擔今天萬華社宅的動工代表中央對各地方的社宅需求一定不會缺席我也期盼各地方政府都能一起給予支持回應國人對社宅的期待,13956,176,178,81,5,9,101
29,tsaiingwen,10157849733176065,公投結束了今天我也特別感謝縣市首長黨部同仁以及全台黨公職的努力從我們確定要全面展開社會溝通以來這短短五十多天內團結兩個字就是民進黨最好的寫照這段時間以來我們一再對外強調公投沒有誰輸誰贏的問題所以我們不會把公投的結果當作是民進黨的勝利不過四個案子都守下了確實讓我們的施政方向能夠延續也讓朝野各界以及國際社會都能清楚看見台灣的民意我也要謝謝每一位站出來的支持者不論是身在南部北部中部東部還是離島謝謝大家一起守住了台灣穩健前進的機會此外有關近期新竹縣市合併的討論大家都有很多看法我也想跟大家說明幾項原則️⃣現在六都人口占全國人口的七成而非直轄市的個縣市只占其餘人口三成這不但對於地方治理效率是一個挑戰更形成資源與地位不對等的現象台灣要走進全球競爭格局也要讓台灣的每一個區域治理都有面對全球競爭的能力因此縣市的整併牽涉地方政府的治理規模這已經是必須要處理的課題️⃣基於國際經貿戰略的長遠布局以及在全球供應鏈重組的當下台灣要掌握住關鍵契機新竹縣市作為台灣的科技重鎮我認為新竹縣市合併升格提升地方政府的治理規模強化台灣關鍵產業的發展量能這是一個迫切的議題️⃣提升地方政府治理規模要各項條件成熟符合人民共識但地方治理規模的調整無法一步到位因此我們也會持續落實縣市平權對地方財政進行公平的資源分配我們一定會以財務上的各種方式包括專案計畫性補助對地方建設的實際投入等盡量縮小直轄市與非直轄市間的差距資源只會多不會少建設只會多不會少對於這個議題我知道社會各界希望有進一步的討論但考量時間我認為先讓相關法案儘速通過並持續透過大家的建議跟想法更周全的面對當前地方自治的課題解決各縣市地位與資源不對等的現況我希望大家一起支持修法我們一起來努力,39338,341,446,381,85,63,1177
30,tsaiingwen,10157848175146065,布局全球新竹帶領台灣半導體打世界盃新竹是台灣半導體產業的重要核心今天陽明交通大學產學創新研究學院成立這是台灣第一所以產學共創模式成立的研究學院將為台灣半導體產業的發展超前部署自從美中貿易衝突以來再加上疫情的影響全球供應鏈出現很大的變化台灣靠著高科技產業尤其是半導體晶片的技術成為國際注目的焦點連帶著新竹也成為全球供應鏈中令人矚目的關鍵戰略產業城市現在全球半導體產業競爭激烈台灣若要繼續維持國際領先的地位培養下個世代的高科技人才就是我們現階段最重要的投資除了鬆綁法規讓大學引進產業界的資源我們在新竹成立產學創新研究學院將投入前瞻技術研究加速頂尖人才的培育也提升產業研發的量能今天還有七家企業代表也在現場大家都很期待這座新學院讓產學合作更緊密期待未來我們一起布局國際一起打半導體及高科技產業的世界盃,33541,339,334,52,12,10,125
31,tsaiingwen,10157847848356065,今天是冬至祝大家健康平安冬至到了大家也有吃湯圓嗎最近天氣越來越冷提醒大家出門注意保暖維持身體健康在年末的時刻我要特別感謝大家這一年團結防疫守護台灣我也要特別提醒還沒有接種第二劑疫苗的朋友請別忘了盡快預約現在第三劑疫苗加強針也已經開打如果你符合資格可以趕快來接種保護自己的健康就是守護大家團結防疫守台灣,19443,395,106,28,7,6,77
32,tsaiingwen,10157846941351065,今天我來到花蓮拜會證嚴法師也特別感謝慈濟基金會與鴻海永齡基金會台積電共同捐贈疫苗協助全體國人來防疫當台灣面對疫情等各種挑戰民間組織站出來與政府一起努力這對國家是很重要的穩定力量也是台灣人的福氣再次感謝所有協助防疫的民間力量目前國際疫情仍然嚴峻我們的疫苗覆蓋率第一劑即將來到第二劑也突破現在我們要繼續拚第三劑月日星期五將開放歲以上民眾追加施打第三劑疫苗請大家注意相關資訊持續為防疫來努力團結防疫守台灣,22752,351,125,36,16,5,79
33,tsaiingwen,10157656548231065,蔡英文一起來接種疫苗吧我們每一個人都能對台灣的防疫有貢獻➡️衛生福利部特效框連結：團結防疫守台灣,70,1,0,9,0,0,2
34,tsaiingwen,10157467478656065,蔡英文團結防疫守台灣,0,0,0,0,0,0,0
