,page,id,text,like,love,care,haha,wow,sad,angry
22,atunemusichebe,350791429740671,裂了的器皿可以金繼謝了的愛情花無以為繼洗碗洗一個太賣力易碎品請小心輕放碎碎平安睡睡平安愛情花晚安好眠,52711,1117,172,137,155,46,1
23,atunemusichebe,350253553127792,安安靜靜自然而然很好晚安好眠商陸花,38081,1061,60,17,18,1,1
24,atunemusichebe,347860546700426,七月✋🏻做喜歡的事走喜歡的路開啟七月晚安好眠,80767,2706,211,19,39,0,2
25,atunemusichebe,345574510262363,小樂手冰鋒衣🎶🎶🎶大家會唱了嗎一起穿冰冰涼涼的降溫一下心情也跟著美麗😍這個夏天冰鋒衣穿起來疫情期間也要一起渡過喔冰鋒衣要穿就穿冰鋒衣穿比不穿還涼冰到不能再冰,41513,2064,118,41,39,3,4
26,atunemusichebe,345761013577046,夏天的顏色麝香葡萄伯爵戚風晝開夜合的小豆樹,70765,1628,76,26,139,1,1
27,atunemusichebe,341964770623337,在一個燈光昏暗打著霓虹的時髦旅店進行拍攝工作導演是比爾賈遇見拉拉帶著他們的鵝紙在拍攝現場地板的床墊上玩耍我覺得好像見到心儀的偶像那樣不好意思又忍不住向前靠近請你們可不可以不要停止鵝照好可愛我好喜歡看啊他們尷尬的笑著還沒回答我我就夢醒了還好是夢否則也太尷尬居家防疫生活就是吃喝拉撒睡看書追劇聽歌栽植植災看窗外天空進出廚房各種實驗餵食自己躺床躺沙發懷疑自己解析自己懶得理自己一下樂觀一下絕望覺得需要平靜抄經唸經滑手機滿心期待看賈上樂爸媽分享他可愛照這樣真的有夠可愛好有喜感喔喔喔近期心頭好喔喔還有偶爾的視訊會議啦連做夢都在工作也是很熱愛工作了吧,51271,1094,80,810,28,0,1
28,atunemusichebe,337275044425643,第一次一個人的端午節也是第一次過的這麼有儀式感一口氣吃了五個粽子接了午時水刷牙洗臉趕不及午時立蛋趕緊做個排排躺好的味噌醃漬蛋黃不知道是不是雄黃酒喝多了覺得自己法力無邊家裡沒有艾草將就用鼠尾草自己當起法師淨化家裡每個角落連礦石也不放過跟遠方的家人視訊問候彼此拍照分享各自的天空看他們都好好的覺得安心喝杯溫熱的苦茶抄遍心經願我們都能身心平安度一切苦厄端午節快樂晚安好眠,71251,1606,120,97,94,0,1
29,atunemusichebe,336768737809607,靜靜生活好好睡覺慢慢洗澡細細刷牙何景窗謝謝生命看似簡單其實不然送你一朵小花晚安好眠,36317,1355,84,19,20,0,1
30,atunemusichebe,336075161212298,深夜食堂自煮蛤蜊自主隔離噗噗蒜香奶油酒蒸蛤蜊鮮甜蛤蜊汁精華雜炊每顆飯粒吸飽吸滿精華再打一顆蛋不浪費任何一滴精華客家精神就是讚完食蛤蜊部隊整齊守秩序晚安好眠最好看完這個你能好眠我很抱歉待在家保持冷靜吃東西深夜食堂自煮蛤蜊自主隔離噗噗蒜香奶油酒蒸蛤蜊鮮甜蛤蜊汁精華雜炊每顆飯粒吸飽吸滿精華再打一顆蛋不浪費任何一滴精華客家精神就是讚完食蛤蜊部隊整齊守秩序晚安好眠最好看完這個你能好眠我很抱歉,34817,1292,56,256,99,4,3
31,atunemusichebe,335522664600881,肯瓊醬已嚐過可安然入睡時髦度的確認跟風的部分肯瓊醬好吃跟風裝流行點了朋友問蛤覺得替他感到哀傷也替當年誤把說成的自己鬆了一口氣長輩容易嗎你知道酷龍跟嗎哈哈晚安好眠,60351,728,60,5799,72,6,2
32,atunemusichebe,334084848077996,鍋煎超厚鬆餅看著奶油融化好療癒外脆內鬆自己說需要小火與耐心不能沒有奶油啊,50937,1474,72,35,200,0,1
33,atunemusichebe,333748824778265,人跟洋甘菊都需要補充水分洋甘菊給你好眠補水給你夜尿矛盾大對決噗噗晚安好眠,36202,1067,60,214,22,2,1
34,atunemusichebe,332540128232468,有誰跟我一樣看完大豆田永久子與三個前夫第八集也雀躍地煮了費功的咖喱以為最後小田切讓會來自己家裡一起共食最後卻發現居家防疫獨身的自己必須制定早中晚消滅咖喱計畫表這次為了符合劇情所謂費時費功的料理也貫徹日式咖喱精神讓洋蔥焦化炒香炒軟炒爛濃縮再濃縮增添咖喱的底蘊想讓咖喱更多層次加入了薑泥蒜泥番茄泥蘋果泥熄火後黑巧克力蜂蜜鮮奶油的點綴也沒省略專心做好一件事帶點期待而認真投入的過程讓成品嚐起來覺得特別美味無所事事好像真的是一種天份安然自處一直是我的強項從來都不會覺得無聊啊大豆田如果用一盤咖哩就能束縛一個人那應該也能用一盤咖哩解放一個人自主居家隔離防疫限制了某部分的你但在限制裡或許更能看見無限的自己比如現在網路上大家都變成小廚神了呢大家一起加油每天都是一種心的練習每天都是一種新的練習疫情過後還是可以邀小田切讓來試試我的咖喱紗窗我會先把它弄歪脫軌醬大豆田永久子與三個前夫坂元裕二是神剩兩集了好捨不得嗚嗚,42272,1424,55,98,87,2,2
35,atunemusichebe,331919541627860,今日為二十四節氣的芒種芒種節氣因為陽氣旺盛最重要的就是養心黃帝內經認為心主神明南方生熱熱生火火生土土生心心生血心經掌管所有臟腑運作應該要保持清明心平氣和但一想到芒種自六月五日起至六月二十日之間會遇上端午節就開始擔心起假期的返鄉潮實在安不了心啊疫情仍嚴峻若狀況允許衷心盼望大家共體時艱勿移動勿返鄉送上兩張照片是家裡花束其中很喜歡的兩位朋友分別是小盼草與獨行菜祝福我們在日復一日獨行的日子裡找到心中小小的盼望且終能平安實現它芒種操心的呼籲端午節勿移動勿返鄉大家加油獨行菜小盼草晚安好眠,43124,1551,103,9,20,1,1
36,atunemusichebe,331745618311919,不能牽手的此刻相信牽手的明天不能手牽手但可以心連心我們都要好好照顧自己期待下次相見唱歌給你聽手牽手居家防疫愛用歌聲傳遞可以沒有腳架沒人幫拍打光沒記得拍橫式但不可以沒有題詞噗噗的一人,25388,2359,206,28,12,2,3
37,atunemusichebe,330466075106540,感謝朋友贊助山上來的水蜜桃讓我在家也能品嚐山中滋味烤個伯爵戚風再打一些伯爵味道的鮮奶油覺得可以蜜桃伯爵戚風喔喔咖啡杯也是朋友贊助的裝什麼都變好喝的五次窯燒杯,42437,1297,54,11,77,2,1
38,atunemusichebe,329463401873474,六月👋🏻😊不能沒有你一花一天堂可我從不是朵孤高的花浩瀚的森林裡故事如海杜鵑托卵苔蘚附生秋末的青剛櫟是一場盛宴桑寄生巧思設計了啄花鳥樹梢傳來角蟬甜蜜的清唱沒有誰能夠獨活寄生偏食牽制利用樹冠下有相互依存也有爾虞我詐絲線般拉起織就一張巨大而綿密的網微渺而如是壯偉生命在其間繁茂循環往復無始也無終六月你好地球上的我們種間關係生命之森不能沒有你晚安好眠,57789,1642,140,34,28,5,1
39,atunemusichebe,326972145455933,小樂手全新升級版的冰鋒衣來囉穿比不穿還涼防曬升級隔絕室內外紫外線冰感升級每色都是各項檢測最高等級讓夏天的悶熱都消失就像走進冰箱一樣❄️布料升級抗菌除臭流汗也不怕非常清爽哪都能穿這個夏天就讓全新升級的冰鋒衣陪伴你度過吧疫情期間要注意自身健康安全口罩一定要戴好喔大家加油💪🏻冰鋒衣要穿就穿冰鋒衣穿比不穿還涼冰到不能再冰,86423,3153,177,60,111,10,17
40,atunemusichebe,325851782234636,你有多久沒有在吃早餐的時候配上一份報紙喜歡週刊編集因為我能一邊看它一邊安心徒手拿三明治送進嘴巴裡喜歡週刊編集因為它的美術設計編輯排版總能讓我的視覺享受新東西但編排妥帖舒心喜歡週刊編集因為它總理智冷靜卻充滿溫度的關懷著世界每個角落讓我們有機會見微知著我總覺得一個人的心長成什麼樣子他的世界就是什麼模樣然而一個人選擇閱聽什麼也決定了他的心添加了哪些成份居家防疫關不住關懷世界的視線跟我一起在家看上一份好報紙吧編集者新聞週刊編集優惠訂閱活動持續進行中了解更多優惠訂閱內容給自由的你訂閱一份新世代的報紙,48960,1166,96,59,43,3,3
41,atunemusichebe,324818735671274,看了大豆田永久子與三個前夫今晚我想來點壽喜燒好蛋好肉好醬好好食一段好的戀情是兩個人在一起的時候感到幸福一個人獨處時也能開心大豆田永久子與三個前夫坂元裕二壽喜燒,49353,1699,87,27,61,4,0
42,atunemusichebe,322254372594377,上週下山後收到爆炸式的資訊專輯入圍金曲限水停電疫情擴散狀況嚴峻許多工作與活動臨時喊停或未知的無限延期心情完全不是什麼憂喜參半可言對疫情的憂心及醫護人員的擔心完全蓋過金曲入圍什麼的乖乖待在家休息沉澱確實做好防疫將近一週今天是也是二十四節氣的小滿是諧音梗愛好者適合告白的一天而小滿其含義是夏熟作物的籽粒開始灌漿飽滿但還未成熟只是小滿還未大滿身為諧音梗愛用者節氣女歌手的我想在這天用愛灌溉讓你雖未大滿的心覺得豐盈翻開手機相簿想在疫情嚴峻人心惶惶時分享遼闊的風景讓你透過視覺大口呼吸安定身心風景太美照片太多造成我嚴重選擇困難症這次是第一次嘗試揹重裝自以為身強力壯事前完全沒做負重練習就錯誤示範揹了約自己體重三分之一的重量進行奇萊南華三天兩夜行在出發前兩天得知能高越嶺前段因坍方整治必須封鎖道路暫時要改道高繞會多走約兩個多小時是要上上下下頗多攀繩路段不是公園散步微風徐徐吹來的那種兩小時晚起登又渴望早到天池山莊的我一路求快企圖重裝飛奔飛奔的過程還是不忘享受沿路風景沿途也進行了衝突又爽快的液體補充補充水份利尿咖啡再補多汁水蜜桃邊走邊嘻笑哼唱當然少不了歌單有蝸牛我要一步一步往上爬背包你的背包揹到現在還沒爛更離譜的是我還唱了蝸牛與黃鸝鳥你沒看錯盡是一堆老歌身體是很誠實的人一累本能反應就出現老人歌單湧現阿門阿前一棵葡萄樹阿嫩阿嫩綠的剛發芽蝸牛背著那重重的殼一步一步地往上爬阿樹阿上兩隻黃鸝鳥阿嘻阿嘻哈哈在笑它葡萄成熟還早地很呀現在上來要幹什麼阿黃阿黃鸝鳥不要笑等我爬上它就成熟了對整首歌詞貼上來嗯我就是這麼欠揍葡萄成熟時我也終於到了天池山莊要走階梯下營地時我知道我的膝蓋在生氣抗議了第一次嘗試在山屋打菜吃晚餐飢寒交迫對我浮誇又詞窮的我每一口飯菜都覺得好幸福滿足晚餐後幫累成喪屍的山友同學在帳篷裡切蛋糕吹蠟燭慶生相信連吹蠟燭都快沒力氣的生日會讓她永生難忘哈哈白天大汗淋漓用濕巾簡單擦拭伴著整頭未乾想念著家裡強風吹風機的長髮睡了一個半小時微頭痛即摸黑起床準備早餐後看日出去走出帳篷還來不及感受睏倦看見滿天星斗立刻被天空浪漫到覺得自己未滿渾身帶勁到不行吃完早餐戴著頭燈懷著雀躍的心一路向上準備先去南華山看日出一路上山的步伐大概就是懷著與暗戀愛慕很久的對象即將初次約會的心情吧夢幻漸變的天色讓身體賀爾蒙及心緒都起了奇妙愉悅的變化箇中滋味可能走過才能體會或是我用唱的會比說的貼切我把我的靈魂送給你或是一首歌天色漸亮我們走到了南華山頂靜靜地躺在劍竹上等待日出來臨太陽出來了日出正好是好像天地正告訴我祂愛著我要我好好享受上天充滿生命力分秒流動的藝術品此刻生命的火花在心裡點亮讚嘆這大概是我看過最美麗的風景了平靜豐盛又感恩內心的香格里拉不在遠處就正在自己心裡運氣太好天氣極好大景群山環繞這樣的時刻從容地喝著手沖咖啡眼耳鼻舌與心都好享受享受完這座山頭準備前往另一座奇萊南峰上奇萊南峰時與三兩年輕山友擦身聽到她們聊天內容妳覺得妳能爬到幾歲呀四十歲膝蓋就不行了吧當時這對話聽在我耳裡同時的我的右膝每一步都在吶喊我的心是爆笑出來的哈哈還沒膝蓋就被說中甄是弱爆老嫗好解膝蓋不舒服的小插曲一點也不減這趟旅程的美因為同行山友們的協力照顧更覺得人間值得又溫暖也因此提醒自己未來要更強化各種肌群的平衡使用與鍛鍊做一張喜歡的專輯大概就像爬一座喜歡的山找上喜歡的夥伴應著彼此長處才華的差異與強弱相互支持著一步一腳印一字一句每個音符與每份心意如實呈現過程很美箇中滋味無人知曉只有一起走過的人才明瞭真心感謝所有創作者和團隊的每個夥伴而好天氣登頂後的大景大概就是金曲獎吧能有大景當然覺得開心幸運但爬山從來不只是為了大景啊小學生寫完流水帳日記了終於要去處理躺在陽台一週灰頭土臉的登山鞋跟登山杖了居家防疫落落長文應該有人有空閱讀了吧哈怎麼辦我還有好多風景美照耶好慌喔📷,122671,6523,350,94,98,6,4
43,atunemusichebe,315834456569702,喜歡在妳的小花園跟在妳身旁聽妳分享植物們的近況怎麼雞蛋花沒有全開就落下要我伸手摸摸妳種的萬壽菊再聞一下手上的餘香我們一起彎腰把鼻子湊近梔子花大口吸她們的香喜歡和妳在一起的所有時光因為妳我能品嚐生命的各種滋味懂得喜歡自己懂得珍愛妳給我這一生的時光或許就是喜歡妳最好的表達我會努力做個懂事的孩子謝謝媽媽❤️母親節快樂,48116,1999,80,7,17,0,0
44,atunemusichebe,311133707039777,五月的第一天我也是有在勞動的好嗎有點不習慣告訴自己疲勞也是如幻如化洗睡去五月你好好的如幻如化不好的也是如幻如化晚安好眠,57771,2501,149,314,30,1,0
45,atunemusichebe,309989490487532,終於奉上無人知曉專輯最後一首歌人什麼的最麻煩了的了在喝了兩杯的夜裡邊回想著整張專輯如何長成這樣自己一路又經歷了什麼眼眶濕濕的心裡感動又感謝謝謝時間謝謝所有的人謝謝生命給我的養分想到最後在無人世界裡拍拍我肩膀那隻有溫度人類的手就是當初給我第一張專輯裡這首歌的那隻手真覺得人什麼的真可愛人什麼的真有愛謝謝談宗藩和愛妮對作品細細密密辛辛苦苦用的兩顆心每一幀的完美都讓我心裡隱隱覺得極舒服又不太舒服畫面說出一邊享受又一邊不安的矛盾感實在好喜歡我一直都知道最麻煩的就是我自己矛盾的人最麻煩了但人有不矛盾的嗎這張專輯句號了嗎無人知曉打字打到這裡已經半瓶了酒醒要刪文嗎哈哈謝謝巫女亂舞的黑膠談談讓它跟我回家誰說我可以叫談宗藩談談的,37595,1765,107,50,21,3,3
46,atunemusichebe,309118307241317,小樂手🛹人什麼的最麻煩了完整時間正在倒數她和世界正在進行一場捉迷藏倒數結束全世界的人都消失了走進田馥甄的無人世界接近無人知曉的她人不見了有點自由有點寂寞人什麼的最麻煩了原來沒有人才最麻煩田馥甄人什麼的最麻煩了,14843,1236,47,10,26,3,1
47,atunemusichebe,307919280694553,小樂手自找麻煩人不麻煩沒有人才是最麻煩的田馥甄說無人世界要沒有人就是最麻煩的事十支哪有一支不麻煩的無人知曉人啊不麻煩的事情不做麻煩到底矛盾到底難搞到底人什麼的最麻煩了田馥甄人什麼的最麻煩了,10686,626,24,34,12,1,0
48,atunemusichebe,306977474122067,山林飄落油桐花雪好美桃園大溪金面山,39269,1157,55,8,36,0,1
49,atunemusichebe,303621207791027,感受聽見歌再唱感動孩子們單純的美好感謝老師不放棄的熱忱在信心與資源匱乏之時讓歌聲傳遞到心靈深處真善美總能讓眼角失守真摯動人的電影看起來聽見歌再唱,39497,1598,105,8,14,2,1
50,atunemusichebe,303261334493681,用力抓住草莓季的尾巴🍓愛的力量獻給我愛的手足❤️哥哥生日快樂草莓伯爵戚風數不清第幾個草莓蛋糕晚安好眠,46716,1387,81,15,41,4,1
51,atunemusichebe,299622861524195,小樂手今晚想要喝一杯聊聊天嗎現在就到微醉的活動貼文底下留言今晚我和微醉有約就可以開始和馥甄一對一聊天唷❤️記得活動要玩到最後唷這樣才不會錯過小驚喜喔只要參加活動就有機會可以獲得乳酸沙瓦瓶和馥甄親筆簽名的乳酸沙瓦喔大家快一起來聊天吧大人的微醉夜我的晚酌時光乳酸沙瓦新朋友新鮮又熟悉的好滋味,2355,224,7,3,5,0,0
52,atunemusichebe,294385018714646,清明時節願世間的溫暖和善意把人們心上的霾吹散帶來清明與平靜追憶讓我們更懂珍惜❤️,56388,1064,272,6,16,42,1
53,atunemusichebe,292191068934041,👏聽見歌再唱🎬我不是在山裡就是在去戲院看聽見歌再唱的路上聽見歌再唱拍拍手加加油這位山友手要拍路也要看啊😂陳嘉樺,34771,1725,83,582,30,2,2
54,atunemusichebe,291709902315491,阿花一朵花謝謝你們❤️鳶山彩壁,116166,4249,216,207,52,1,2
55,atunemusichebe,290056019147546,☀️豐盛的一天❤️謝謝晚安好眠,80286,2358,160,25,37,1,1
56,atunemusichebe,275295697290245,啊啊啊容易嗎🎉🍾🎈唐老師辛苦了謝謝妳❤️且看且珍惜值得紀念不能只是限動,99275,3122,219,33,55,2,2
57,atunemusichebe,274189534067528,三月的第一天做喜歡的事開場連假的最後一天做喜歡的事收尾❤️🏸三月你好👋三月你好羽球小奇才晚安好眠,209709,4694,414,93,139,3,2
58,atunemusichebe,269231574563324,牛年把會長準備的會服穿起來石牛山爬起來牛年石牛山競選背心的部分黑色有比較像霹靂小組嗎,43528,1384,59,176,20,1,1
59,atunemusichebe,3721083474613758,小樂手一步一步跟著自己的步調前進一步一步感受世界的呼吸一步一步過好每個日常學習放慢時間放慢腳步走進山接近山自然甄好好運動起來何樂而不為田馥甄爬山趣,12445,854,33,9,18,0,0
60,atunemusichebe,3717952054926900,開工大吉🙌🌠💛不只祝你有美好的一天還想祝你有美好的一年,101167,2506,186,36,29,2,2
61,atunemusichebe,3714336415288464,初四近大自然牛年第一爬🐮💚🌳🌿☀️新年快樂💙,74231,1630,124,30,32,0,0
62,atunemusichebe,3711815445540561,初三🐦新年快樂💚,35215,1114,56,22,27,2,1
63,atunemusichebe,3708834555838650,初二🌳🌼🌳新年快樂🤍,116101,2876,145,226,56,0,4
64,atunemusichebe,3706170049438434,初一想你一個擁抱也給自己一個擁抱新年快樂❤️心安樂🤍,34264,1522,169,10,12,0,0
65,atunemusichebe,3687779527944153,小樂手田馥甄田完整每個人心裡都有那畝田探索自己卸除眼界播下玉米的種子跟著馥甄闖進玉米田可以找到認識自己與世人相處的答案或是外星人的秘密🖖田馥甄田探訪神祕心田田馥甄無人知曉🔮《無人知曉》數位聆聽：🎞️無人知曉專輯,9274,881,32,7,20,1,1
66,atunemusichebe,3684236941631745,今日為二十四節氣的立春由於一年之計在於春身為春之精靈的我在陽光燦爛的午後遊刃有餘為了搭配有魚的卡片我就暫時勉強自我感覺良好了的完成了舒展身心的瑜珈立春這顆魔幻亮橘得像被加工過如螢光橘色鹹蛋黃的夕陽一路伴著我回家跟最愛的人相聚就是我為自己預約春天的好事在家人的懷抱裡我就是最有福氣又富貴的客家千金立春回家甄好瑜珈軟糖春之精靈客家千金懸日追隨者烘焙小奇才有生之日都快樂把今日收到的一切美好寫進流水帳日記分享給你晚安好眠,33287,1522,94,14,16,0,0
67,atunemusichebe,3679795445409228,早安清晨在自己的房間醒來突然腦袋清晰梳理起自己的心意識到不善交際不喜人群的自己在昨晚的歡騰裡照見自己的浮躁與不安先是覺得面目可憎再想到自己的初心又覺面目可愛記取教訓後就原諒了自己起身喝了一大杯四十五度舒適宜人的溫水抄了一遍經覺得平靜總是喜歡走進山裡要不就是待在自己的房間裡或許寧靜但不同的因緣遇境都是一種學習真正的修行是走進人群每一天都心的練習早安您好每一天都是新的練習每一天都是心的練習今天繼續綻放笑容,58067,1805,212,15,35,3,1
68,atunemusichebe,3677991622256277,剛收到看完走去撕日曆看到這我笑了綻放的笑容是迷途中不滅的指引🌽😊導演您怎麼看甜姐兒田姐兒,19352,736,37,113,13,1,0
69,atunemusichebe,3665312083524231,賞蕾絲花哪有不掉花粉的吃燒餅哪有不掉芝麻的大家來接龍,27433,793,38,314,31,1,1
70,atunemusichebe,3638115369577236,到石門山任性下結果芋人不淑導致心亂如麻享受山林享瘦美食好方便好健康好好吃藜麥糙米低鈉,88775,2410,116,317,48,1,0
71,atunemusichebe,3622300561158717,請問如何在這寒冷的天氣讓度熱水手沖咖啡完成之後不成為冰滴咖啡謝謝指教喔甜笑我浮誇大家注意保暖,27302,642,50,1804,36,2,1
72,atunemusichebe,3614809768574463,氣溫度把自己包成這樣才敢出門一走出門還是連續打了個噴嚏這樣你把自己包成怎樣,68171,3157,214,366,77,4,1
73,atunemusichebe,3613945765327530,小樂手新年就是要讓大家的眼睛為之一亮✨😉帝康全新系列繆思女神趕快一起戴起來吧現在屈臣氏就可以買的到囉🏃🏻‍♀️帝康繆思女神,5630,444,24,4,8,0,0
74,atunemusichebe,3609750885747018,羽球小奇才才怪第一打從事一個網狀物的活動,111945,3689,229,495,92,1,3
75,atunemusichebe,3603851203003653,下午走在路上看著天上覺得這顆樹長得漂亮想隨手紀錄一張路人看到我仰頭拍它熱心跟我介紹說這叫豔紫荊突然我覺得這暖暖的善意比豔紫荊美麗❤️,40937,1877,100,16,25,0,1
76,atunemusichebe,3594508883937885,謝謝你👋🏻你好啊✋🏻新年快樂🎉我愛你們❤️一一道別一一珍惜一一迎接,88444,4378,247,19,16,0,1
77,atunemusichebe,3589029977819109,小樂手微醉這次特別呼應年末色彩帶著限定上市的草莓沙瓦與經典白色沙瓦給大家驚喜唷🍓除了期間限定的草莓沙瓦外更首次與無聊咖啡聯名合作打造微醉祕密花園不但有應景的絕美打卡點之外更有精心調製兩款獨一無二的夢幻特調元旦連假不怕沒地方去囉一起去玩吧😍微醉草莓沙瓦微醉無聊咖啡冬日浪漫特調微醉秘密花園微醉迎接,28200,1592,98,15,25,1,2
78,atunemusichebe,3584976244891149,藍星花的花語是把握現在好符合花期短暫易凋謝的她謝了謝了給自己一個擁抱晚安好眠,25713,1421,84,8,16,3,0
79,atunemusichebe,3577447342310706,❤️💚任家萱陳嘉樺我想要的聖誕節就是你❤️💚任家萱陳嘉樺,140399,7932,413,53,34,1,1
80,atunemusichebe,3569411506447623,看著你們醬可可愛愛乖巧守秩序地排隊準備下去泡湯我就冬至快樂了⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪⚪祝大家冬至快樂🤍冬至芝麻必須,69267,1729,116,661,54,0,2
81,atunemusichebe,3564250066963767,月亮真美🌙,52787,1802,100,40,43,1,0
