,page,id,text,like,love,care,haha,wow,sad,angry
10,tsaiingwen,10157863925231065,大家早安，新年快樂！稍後08：40，我將和 賴清德 副總統在總統府內發表「2022新年談話」，歡迎大家一起加入直播並分享！,12732,212,100,19,0,1,55
11,tsaiingwen,625407828581797,"大家早安！歡迎一起加入元旦總統府升旗典禮直播！

🇹🇼中華民國111年元旦總統府升旗典禮
活動時間｜1/1（六）05：00，全長約120分鐘
活動地點｜總統府前廣場
直播平台｜
𝐅𝐚𝐜𝐞𝐛𝐨𝐨𝐤：蔡英文 𝐓𝐬𝐚𝐢 𝐈𝐧𝐠-𝐰𝐞𝐧／賴清德／總統府發言人
𝐘𝐨𝐮𝐓𝐮𝐛𝐞：總統府／蔡英文總統

🇹🇼升旗典禮流程
0500｜建國中學樂旗隊
0510｜北一女中樂儀旗隊
0525｜向醫護致敬 2022元旦升旗演唱會
0550｜醫護大合唱 世界挺台灣
0603｜國防部三軍樂儀隊操演
0627｜升旗典禮
0641｜介壽國中弦樂團",10435,1415,107,22,16,13,56
12,tsaiingwen,10157863093876065,"祝大家2022新年快樂！

時間過得很快，已經到了2021年的最後一天，我想要謝謝大家在這一年，一起克服許多挑戰，也在經濟、國際上創造許多新的成績，讓台灣成為更進步的國家。

新的一年，我們也要一起團結守護台灣，讓台灣繼續走向世界。明天，我將在總統府發表 #元旦談話，歡迎大家鎖定我的直播，一起迎接2022年。

#跨年記得做好防疫",92270,2311,528,59,13,13,77
13,tsaiingwen,10157862545756065,"2021年最後一天，我想要特別感謝第一線的防疫人員。

疫情肆虐全球已經兩年，這兩年來，包括醫護、機組人員、防疫司機及邊境檢疫員等第一線人員，都在崗位上努力落實防疫，守護台灣。他們就是台灣最堅強的防疫英雄。

過去這一年，也因為全體國人的團結努力，台灣不僅度過嚴峻的疫情考驗，經濟表現也持續亮眼。

我要謝謝為防疫付出的每個人，也要提醒大家，國際疫情依然嚴峻，我們一定要繼續守住疫情防線。

我知道連假第一天，大家都很期待跨年活動，請大家出門做好防疫措施，保護自己，也保護他人，我們一起為台灣來努力！

#Becauseofyou #感謝第一線防疫人員",12894,415,162,14,3,5,48
14,tsaiingwen,10157861513326065,"明天開始就是元旦連假，預祝大家新年快樂！

這禮拜六，我們即將迎來虎年，總統府也推出虎年電子賀卡，以「虎虎生風格，自信向前行」為主題，象徵台灣的勇敢自信，以及多元文化，歡迎大家傳給親友，分享新年的祝福。

連假期間，各地有許多跨年活動，還是要提醒大家，維持好防疫習慣，新的一年，我們繼續團結防疫守台灣！",16833,360,123,24,3,4,63
15,tsaiingwen,10157861351751065,"守護國家安全，不僅是國軍的任務，也是我們每個人要共同承擔的責任。

我認為，只有建立 #全民防衛 的觀念，才能打造最堅實的國防。我們不只要精進國軍戰力，更要提升全體國民的國防知識與訓練。

所以，我執政以來，除了持續發展不對稱戰力，堅實國防力量，今天我們更成立了 #全民防衛動員署，來落實全民國防的理念。

我要告訴大家，未來全動署將為國家達到三大目標，包括 #後備動員合一、#常後一體、#跨部會合作，並持續強化國家後備戰力：

🔺精進教召訓練，提升後備部隊戰力。
🔺建立跨部會合作機制，確實掌握在災時、戰時能運用的民力、物力。
🔺擬定動員計畫，並適時審視修訂，來提升動員能量。

現在，我們也開始製作全民國防手冊，提升大家對國防的參與和了解。我要感謝國防部 同仁一直以來的努力與付出。

和平要靠堅實的國防，我們持續增強自我防衛力量，讓世界看見我們「不畏戰，不求戰」的原則，以及捍衛國土主權的決心。",29723,343,465,83,18,6,92
16,tsaiingwen,10157860145921065,"我們很遺憾再次看到，中共當局再次撕毀一國兩制的承諾，再次打壓箝制香港的言論自由。

香港政府今天拘捕了《立場新聞》高層、前高層及歌手何韻詩，我們高度關注此事件，也呼籲世界各國、民主陣線的盟友，一起關注他們的人身安全，繼續關注香港情勢的發展。

民主自由是普世價值，是人民的基本權利，勇敢追求民主自由的過程，不是犯罪，更不應該遭受不正當的對待。台灣會繼續堅定地撐香港、撐港人，也盼今天遭拘捕的人士，能儘早平安獲釋。",113930,1578,23320,486,247,4682,463
17,tsaiingwen,10157859973761065,"靜昶守護！終結惡鬥！

這個月的公投結果，顯示大家都期待經濟穩定、社會安定。我們都希望，台灣可以維持競爭力，大步走向國際社會。我們也希望，台灣的民主體制可以理性、穩健。

正因為台灣要繼續穩健向前，我深切期盼，惡意操作的罷免，以及地方派系過度的政治動員，都應該要畫下句點了。

台中市第二選區的立委補選，我們相信，我們提出來的人選四號 林靜儀醫師 溫柔堅定新中二 醫師，是最優質、最專業的立法委員，也最能為台中海線鄉親，爭取公平、正義和發展。

對於台北市第五選區－中正萬華區的罷免案，我們的態度很堅定，就是我們不同意。我們要用不同意票，讓 #台灣隊 最有拚勁的隊友 林昶佐 Freddy Lim 委員，可以繼續留在立法院。

此時此刻，台灣的經濟，正在大步向前，但國際社會的疫情，卻又相當嚴峻。台灣社會需要專心面對經濟和防疫，做最大努力，克服挑戰，不應該再被惡質的政治操作干擾。

1月9日，贏回中二選區，守住中正萬華，這就是終結罷免惡鬥，最直接也最有效的方法。而最關鍵的主角，就是中二選區和中正萬華的選民了。

靜儀和昶佐都是台灣中生代優質的政治工作者，是最能專業問政，最有服務熱忱的民意代表。

我要拜託台中市沙鹿、龍井、大肚、烏日、霧峰，台北市中正萬華區所有的鄉親，請你們以行動站出來，#用行動進場守護家鄉，#用行動當政治惡鬥的終結者。

最後的選舉結果可能差距很接近，我們一定要拚全力來贏得這場選戰。1月9日，下個星期日，我們集結所有的力量，靜昶守護，終結惡鬥。讓政府可以專注在國政，讓社會可以有個平靜的好年。",32399,313,876,239,20,19,492
18,tsaiingwen,615950463072011,"台中市第二選區立委補選倒數11天，我要請大家一起衝刺、一起拉票！1/9除了全力相挺4號 林靜儀醫師 溫柔堅定新中二，台北市中正萬華的林昶佐 Freddy Lim 也需要你，用不同意罷免來反惡罷！

1月９日讓我們一起靜昶守護、終結惡鬥！",4292,264,279,28,1,5,131
19,tsaiingwen,10157859850421065,蔡英文 Tsai Ing-wen,151,0,0,1,1,1,0
20,tsaiingwen,10157859850221065,"蔡英文 Tsai Ing-wen

2022.1.9 靜昶守護！
正義一定贏，台中第二選區，支持
四號 林靜儀
終結惡鬥，台北中正、萬華，不同
意罷免林昶佐

一起換上臉書特效框，讓更多人進
場守護！

靜昶守護特效框連結：
https://twb.nz/
dpp0109-chingyi-
freddy",38,0,0,3,0,0,0
21,tsaiingwen,10157857370146065,"今天我在 #全國技能競賽選手大會師 頒獎給奪下金、銀、銅牌的選手，恭喜他們有傑出的表現。

兩年前，在俄羅斯舉行的國際技能競賽，台灣的整體成績是世界排名第三。今天我也告訴大家，勞動部 會像支持奧運選手一樣，給予所有技能選手最好的訓練環境和後勤支援，讓選手們在下一屆2024年在法國舉行的比賽，能夠繼續有最好的表現。

這幾年來，社會上對技職教育的關注越來越高，像是 Skills for U｜用技能與社會對話 拍攝的一部紀錄片，記錄了四位選手投入比賽的過程。我相信所有選手，都投入非常多的時間，做了許多努力，我也希望大家能夠一起幫選手加油。

現在技術人才越來越重要，透過技能，可以協助整個社會解決問題，產生很大的貢獻。去年，台灣在很短的時間內，打造了非常堅實的「口罩國家隊」，就是最好的例子。

我也鼓勵所有技職體系的同學，希望大家都能發揮專業和能力，為社會解決關鍵的問題，用技能來改善環境，為台灣帶來更多進步和發展，我們一起加油！",19603,241,148,22,1,9,167
22,tsaiingwen,10157857242711065,"給護國群山更多支持，四大半導體學院全數到位！

今天，我到新竹為 #清華大學半導體研究學院 揭牌。加上已經陸續成立的 #成大、#陽明交大 和 #台大，現在「四大半導體學院」全數到位，這是台灣半導體產業的新里程碑！

台灣的半導體產業已經在世界占有領先地位，我們繼續跟時間賽跑，才能把握住產業鏈的關鍵優勢！提升研發水準、積極培育人才，就是讓半導體產業持續進步最關鍵的原動力。

這四所半導體學院，有非常多企業一起投入。透過產學合作的課程，學生能夠同時學習學術理論和業界實務，不僅能大幅提升人才素質，也能為產業發展打下重要的基礎。

為了跟時間賽跑，我也建議半導體學院在學程設計上，可以更彈性地運用寒暑假的時間。#我並不是說要縮短所有學校的寒暑假，請大家千萬不要誤解了。我講的是半導體學院，而不是國高中或其它學校的寒暑假喔！

#請幫我轉發",20602,242,225,57,9,6,135
23,tsaiingwen,10157855752546065,"用創意讓台灣成為永續的堅韌之島！

今年，#總統盃黑客松 邁入第四屆，這一年遇到疫情的考驗，台灣的黑客仍持續利用創新科技，展現台灣克服挑戰的韌性。

國內松的五組獲獎團隊，提案內容包括能源轉型加速去碳化、河川與海洋生態保育等議題，都是當前台灣非常重要的政策方向。國際松則是第一次聚焦在氣候議題，吸引國內外的黑客共同貢獻心力，實現全球共好。

我們也特別歡迎Ani's Cuff 團隊參與今天的活動，他們今年參加了「NASA黑客松競賽」，來推廣台灣的昆蟲多樣性，並獲得「最佳科學應用獎」，成為全球十位首獎的獲獎團隊之一，真的非常不容易。

很高興有這麼多優秀的黑客，跟政府同心協力，對重要議題提出解方。面對當今全球的議題和挑戰，政府會持續和民間攜手合作，透過創新科技，讓台灣成為一座永續的堅韌之島。",22750,249,168,40,4,4,151
24,tsaiingwen,10157854170781065,"「竹科X基地」在硬實力基礎上強化軟實力，帶動竹科產業聚落發展！

台灣IC代工全球市占率超過7成，是全球第一；IC設計、封裝測試方面，也位居世界第二。其他包括LCD、LED還有太陽能板等產業，也穩坐全球前三名。這些成果是台灣高科技產業最堅實的「硬實力」的展現。

今天我到「竹科X基地」見證第一軟體大樓的開工，這裡未來會發展積極發展AI、5G、資通訊以及大數據產業，相信一定能夠成為帶動台灣高科技產業「軟實力」的重要產業聚落。

我要肯定 科技部 和 林智堅 市長帶領的新竹市政府共同推動「竹科X計畫」，中央和地方齊心協力，一定可以再次為竹科的產業發展，注入新的動能。

新竹縣市，是台灣的科技重鎮，我相信，強化台灣關鍵產業的發展量能、提升地方政府的治理效能，會是市民、縣民、產業界的共同期待。",23289,243,225,42,6,7,166
25,tsaiingwen,10157853939621065,"聖誕假期，你準備好片單了嗎？公視《 國際橋牌社 Island Nation 2 》，將在今天晚上開播，每週六21:00連播兩集，之前錯過的朋友可以把握機會收看。

從《 天橋上的魔術師 公視影集 》、到《 斯卡羅 SEQALU：Formosa 1867 》、《 茶金 Gold Leaf 公視戲劇 》，一直到《國際橋牌社2》，這些屬於台灣這塊土地的故事，政府會繼續投入力量支持，也期盼未來可以有更多的戲劇、動畫、電影，能產出更多具開創性，又能代表台灣的內容，進軍國際。

更重要的，好內容也要有觀眾熱情收看、政府持續出力，多方的支持才能讓台劇有養分產出更多元的作品。

《國際橋牌社2》的故事設定在1995-1996年，真實地還原台灣在危機下「同島一命、死裡求生」的精神，也寫實還原了台灣民主化珍貴的歷程，許多年輕朋友可能沒有機會參與這段歷史，正好可以藉由戲劇來體會台灣在那個時代特殊的政、軍情勢。

趁著週末，我要邀請大家一起支持台劇，週六21:00，記得看公視《國際橋牌社2》！也請大家留言告訴我你最近看了哪些台劇好嗎？",15497,240,76,50,26,7,113
26,tsaiingwen,10157853028406065,"今天是聖誕節，祝大家佳節愉快！

年終時節，大家是不是也把握時間和親友團聚，今天有 #日台之心聖誕音樂會市集，推薦大家一起來參加。

天氣變冷了，出門過節記得注意保暖，防疫也不要鬆懈了。祝大家平安快樂！

活動資訊：https://reurl.cc/aNO8l4
▍活動時間：12月25日(六)13:00～21:30
▍地點：台北101水舞廣場(入口：松智路側)
▍參與方式：免費入場
▍現場防疫規定：實聯制、請佩戴口罩、禁止邊走邊吃",22111,629,110,29,7,5,74
27,tsaiingwen,10157852820031065,"平安夜跟大家報告！

建立南台灣科技廊帶！加速地方產業發展！

這幾年，我們積極規劃、投入資源，努力在南台灣建立起科技廊帶。今天我來到台南跟高雄，跟大家一起見證重要的產業進展：

🔺台南沙崙資安暨智慧科技研發大樓啟用

一直以來，我們努力在台南打造一個具有多元創新能量的產學研聚落。除了推動沙崙智慧綠能科學城，現在這座大樓的啟用，代表南台灣的產業能量越來越豐沛。

未來，透過跨部會的合作，這裡將會有資安、網路數據分析實驗室、智慧運輸模擬平台，以及南台灣科技新創基地。期待未來有更多廠商進駐，凝聚強大的產業聚落。

🔺高雄的橋頭科學園區選地招商

推動橋頭科學園區，是我們對高雄朋友的重要承諾，從園區規劃、基礎建設和聯外道路， 陳其邁 Chen Chi-Mai 市長一直都在「緊緊緊」加速進行，今天橋頭科學園區也已經可以讓廠商選地建廠。

我要告訴大家，未來更多的半導體、電動車、航太等最新進、最具競爭力的產業，都會來到高雄落地深耕。

我們期待，將台南、高雄等科技產業聚落串連起來，建立起#南台灣科技廊帶，中央地方也將持續緊密合作，把握國際產業鏈重組的關鍵時刻，讓南台灣的經濟加速發展！",19259,222,176,38,6,7,85
28,tsaiingwen,10157852615111065,"四大半導體學院陸續成立！為國家關鍵產業向下扎根！

今天股市寫下新紀錄，代表台灣經濟基本面強，其中我們的半導體供應鏈，也是帶動經濟成長的重要關鍵。

台灣的半導體技術在全世界已經占有領先地位。政府也要在既有的基礎之上，持續為國家關鍵產業超前部署。

成立#四大半導體學院，積極為下個世代培育科技人才，就是我們現階段的重要任務。前陣子，台南、新竹的半導體學院都已經啟動，今天台灣大學的 #重點科技研究學院 也正式成立。緊接著，清華大學半導體研究學院，也將在下週成立。

很快的，台灣的四大半導體學院將全面啟動、以產學共創的模式，投入培育科技人才的國家隊。

我也要特別感謝台積電、聯發科、力積電等產業界共同支持，給予政府大力協助。

國家的執政方向正確穩定，經濟也會持續有好表現，謝謝大家跟政府一起打拚。新的一年，我們繼續為國家產業向下扎根，全力來拚經濟！",29929,389,317,69,33,9,109
29,tsaiingwen,10157851140306065,"週末聖誕節，大家有安排活動嗎？

這個星期六， 中華文化總會 及 日本台灣交流協會 共同舉辦了 #日台之心聖誕音樂會市集，現場將有日本的傳統美食，以及精采的音樂表演，邀請大家一起來參與。

這一年來，日本不僅協助台灣防疫，多次捐贈疫苗，也在國際上給予我們支持，台日友誼在各方面不斷展現，我也期盼明年台日持續友好，攜手面對各項挑戰。

活動資訊 https://reurl.cc/aNO8l4
▍活動時間：12月25日(六)13:00～21:30
▍地點：台北101水舞廣場(入口：松智路側)
▍參與方式：免費入場
▍現場防疫規定：實聯制、請佩戴口罩、禁止邊走邊吃
☁天氣濕冷，記得保暖帶雨具喔🧣
#日台友情 #AleaysHere",6716,122,46,10,4,1,60
